file,hunks,already,portable,partial,manual,noise,status,added,removed
drivers/base/power/power.h,1,0,1,0,0,0,FULLY_PORTABLE,18,0
drivers/base/power/qos.c,1,0,1,0,0,0,FULLY_PORTABLE,4,2
drivers/base/soc.c,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/block/aoe/aoe.h,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/block/rsxx/dev.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/block/zram/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,6,0
drivers/char/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/char/hw_random/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,17,0
drivers/char/hw_random/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/clk/at91/clk-pll.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/at91/clk-plldiv.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/at91/clk-programmable.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/at91/clk-slow.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/at91/clk-smd.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/at91/clk-system.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/at91/clk-utmi.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/bcm/clk-iproc-armpll.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/bcm/clk-iproc-asiu.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/bcm/clk-iproc-pll.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/berlin/berlin2-pll.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/clk-aspeed.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/clk-cdce925.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/clk-cs2000-cp.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/clk-fractional-divider.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/clk-gemini.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/clk-highbank.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/clk-npcm7xx.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/clk-scpi.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/clk-si514.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/clk-si5351.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/clk-si544.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/clk-stm32h7.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/davinci/pll.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/h8300/clk-h8s2678.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/hisilicon/clk-hi3620.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/hisilicon/clk-hi6220-stub.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/hisilicon/clk-hisi-phase.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/hisilicon/clk-hix5hd2.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/hisilicon/clkdivider-hi6220.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/hisilicon/clkgate-separated.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/keystone/gate.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/keystone/pll.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/loongson1/clk.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/mediatek/clk-cpumux.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/mediatek/clk-mt2712-mm.c,1,0,1,0,0,0,FULLY_PORTABLE,2,0
drivers/clk/mmp/clk-apbc.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/mmp/clk-apmu.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/mmp/clk-frac.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
